YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,TS,T2M_RANGE
2021,6,25,5.37,5.79,0.66,403.96,105.3,113.05,13.71,0.37,1.91,4.45,24.79,25.27,-268.42
2021,6,26,5.26,5.91,0.64,395.3,102.29,114.27,13.36,0.37,1.9,4.18,24.58,25.18,-267.44
2021,6,27,3.62,5.87,0.44,416.62,73.45,114.43,10.33,0.3,1.54,4.45,24.26,24.84,-268.9
2021,6,28,5.59,5.98,0.68,394.92,108.54,115.43,14.12,0.39,2.03,4.05,24.5,24.95,-267.41
2021,6,29,4.31,5.88,0.52,407.02,84.55,113.35,11.47,0.32,1.66,3.59,24.23,24.76,-267.74
2021,6,30,3.75,5.68,0.45,423.4,77.02,112.51,10.84,0.3,1.6,2.78,24.33,24.58,-270.51
2021,7,1,4.24,5.76,0.52,424.36,85.83,114.08,11.83,0.33,1.72,3.47,25.15,25.18,-269.15
2021,7,2,5.34,5.82,0.65,406.31,104.73,113.53,13.67,0.38,1.94,3.73,25.17,25.38,-268.61
2021,7,3,4.34,5.85,0.52,412.21,86.62,114.63,11.75,0.34,1.73,3.77,24.69,25.06,-269.1
2021,7,4,5.73,5.88,0.7,391.56,111.2,113.73,14.23,0.39,2.02,3.05,24.81,24.83,-268.12
2021,7,5,4.7,5.86,0.56,404.98,92.44,113.55,12.27,0.34,1.8,3.38,24.69,24.95,-268.12
2021,7,6,5.48,5.92,0.66,393.73,106.65,114.66,13.82,0.38,1.97,3.58,24.79,25.13,-268.77
2021,7,7,5.67,5.93,0.68,389.93,109.91,114.56,14.17,0.39,2.05,3.52,24.74,25.06,-268.17
2021,7,8,5.16,5.87,0.62,400.33,101.18,114.24,13.27,0.36,1.85,3.55,24.78,24.99,-268.16
2021,7,9,5.45,5.83,0.66,398.1,106.46,113.38,13.82,0.38,1.95,3.12,25.11,25.43,-268.08
2021,7,10,4.76,5.77,0.57,408.79,94.26,113.32,12.52,0.34,1.79,3.39,24.8,25.19,-268.67
2021,7,11,5.29,5.85,0.63,401.91,103.12,113.43,13.49,0.37,1.92,3.57,25.07,25.4,-268.33
2021,7,12,5.6,5.86,0.67,400.69,109.26,113.8,14.06,0.38,2.02,4.06,25.26,25.46,-269.12
2021,7,13,5.16,5.88,0.62,399.09,100.62,113.93,13.23,0.38,1.94,3.74,25.23,25.41,-268.25
2021,7,14,5.4,5.78,0.64,404.52,106.08,112.99,13.83,0.39,2.03,3.88,25.11,25.45,-268.42
2021,7,15,5.62,5.85,0.66,405.37,110.02,114.07,14.25,0.4,2.09,3.85,25.14,25.49,-268.57
2021,7,16,3.26,5.88,0.38,421.37,67.52,115.37,9.66,0.28,1.46,3.27,25.13,25.58,-268.4
2021,7,17,3.36,5.85,0.4,422.3,69.23,115.05,9.78,0.28,-999.0,3.89,24.76,25.12,-270.31
2021,7,18,5.48,5.99,0.65,407.73,107.89,117.23,14.12,0.39,2.02,3.39,25.24,25.58,-268.38
2021,7,19,4.39,6.03,0.52,410.18,88.14,118.05,12.01,0.34,1.77,3.27,24.76,25.21,-268.47
2021,7,20,4.92,6.07,0.58,402.15,96.4,117.52,12.86,0.38,1.95,3.58,24.99,25.2,-268.86
2021,7,21,4.2,6.05,0.49,415.28,83.66,117.92,11.6,0.34,1.75,4.13,24.6,24.9,-269.06
2021,7,22,5.71,6.06,0.66,399.78,110.52,116.62,14.3,0.41,2.1,4.59,24.66,24.86,-268.88
2021,7,23,4.54,6.08,0.53,408.55,90.08,118.54,12.25,0.35,1.8,4.4,24.45,24.67,-268.82
2021,7,24,6.05,6.22,0.7,390.45,116.55,119.26,15.02,0.41,2.14,4.35,24.42,24.69,-268.16
2021,7,25,4.99,6.14,0.58,410.13,98.42,119.57,13.21,0.38,1.97,3.95,24.73,25.17,-268.62
2021,7,26,5.3,6.12,0.61,408.48,103.83,118.84,13.69,0.39,2.03,3.59,24.93,25.18,-267.92
2021,7,27,5.68,6.11,0.66,403.91,111.25,118.85,14.51,0.42,2.24,2.99,24.9,25.24,-268.07
2021,7,28,5.92,6.24,0.68,394.75,115.41,120.91,15.01,0.45,2.36,2.8,25.12,25.43,-267.54
2021,7,29,6.02,6.25,0.69,390.48,116.75,120.62,15.05,0.42,2.21,2.36,25.19,25.64,-266.77
2021,7,30,4.32,6.19,0.49,403.8,84.97,118.95,11.62,0.34,1.75,3.46,24.99,25.44,-267.8
2021,7,31,5.6,6.03,0.64,404.94,109.37,116.97,14.12,0.41,2.12,5.11,25.18,25.54,-268.6
2021,8,1,5.41,6.22,0.62,405.31,106.52,120.98,14.18,0.41,2.14,5.62,24.68,25.06,-268.31
2021,8,2,4.38,6.28,0.5,414.84,87.62,122.7,12.21,0.36,1.84,4.96,24.08,24.69,-267.46
2021,8,3,5.34,6.33,0.6,409.39,105.91,123.65,14.22,0.41,2.18,4.27,24.4,24.89,-268.95
2021,8,4,4.15,6.31,0.47,417.64,83.74,123.62,11.69,0.36,1.83,4.44,24.39,24.85,-268.94
2021,8,5,4.69,6.31,0.53,411.43,94.79,123.59,12.96,0.4,2.08,4.56,24.09,24.51,-269.45
2021,8,6,5.75,6.43,0.64,396.93,111.76,123.6,14.88,0.45,2.33,5.09,24.3,24.51,-268.85
